ambito,clave_enigh,nombre_enigh,codigo_ccif,objeto_gasto_generico,objeto_gasto_ruta,serie_api_nacional,revisar,nota_match
Urbano,011111,Arroz en grano,001,001 Arroz,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 04 Arroz y cereales preparados, 001 Arroz",865610,no,""
Urbano,011131,Tortillas de maíz,014,014 Tortilla de maíz,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 01 Tortillas y derivados del maíz, 014 Tortilla de maíz",865594,no,""
Urbano,011132,Tortillas de harina de trigo,015,015 Tortillas de harina de trigo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 03 Galletas, pastas y harinas de trigo, 015 Tortillas de harina de trigo",865608,no,""
Urbano,011133,Pan,008,008 Pan blanco,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 02 Pan, 008 Pan blanco",865597,no,Pan (genérico) ≈ 008 Pan blanco
Urbano,011134,Pan de caja,009,009 Pan de caja,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 02 Pan, 009 Pan de caja",865598,no,""
Urbano,011135,Galletas dulces,004,004 Galletas,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 03 Galletas, pastas y harinas de trigo, 004 Galletas",865603,no,""
Urbano,011137,Pan dulce a granel,010,010 Pan dulce,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 02 Pan, 010 Pan dulce",865599,no,""
Urbano,011150,"Spaghetti, pastas italianas y pastas para sopa",011,011 Pasta para sopa,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 03 Galletas, pastas y harinas de trigo, 011 Pasta para sopa",865607,no,""
Urbano,011192,Tostadas,016,016 Tostadas,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.1. Pan, tortillas y cereales, 01 Tortillas y derivados del maíz, 016 Tostadas",865595,no,""
Urbano,011221,Bistec de res,018,018 Carne de res,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 07 Carne y vísceras de res, 018 Carne de res",865625,no,""
Urbano,011224,Molida de res,018,018 Carne de res,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 07 Carne y vísceras de res, 018 Carne de res",865625,no,""
Urbano,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022,022 Pollo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 05 Carne de ave, 022 Pollo",865614,no,""
Urbano,011231,Jamón de puerco,021,021 Jamón,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 021 Jamón",865635,no,""
Urbano,011252,Chorizo de puerco,020,020 Chorizo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 020 Chorizo",865634,no,""
Urbano,011411,Leche entera fresca,034,034 Leche pasteurizada y fresca,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 11 Leche pasteurizada y fresca, 034 Leche pasteurizada y fresca",865647,no,""
Urbano,011433,Crema,030,030 Crema y otros productos a base de leche,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 13 Derivados de leche, 030 Crema y otros productos a base de leche",865654,no,""
Urbano,011451,Queso fresco,037,037 Queso fresco,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 13 Derivados de leche, 037 Queso fresco",865656,no,""
Urbano,011454,Queso Oaxaca o asadero,039,039 Queso Oaxaca y asadero,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 13 Derivados de leche, 039 Queso Oaxaca y asadero",865658,no,""
Urbano,011460,Yogurt y bebidas fermentadas a base de leche,041,041 Yogurt,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 13 Derivados de leche, 041 Yogurt",865660,no,""
Urbano,011481,Huevo de gallina,031,031 Huevo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 14 Huevo, 031 Huevo",865664,no,""
Urbano,011512,Otros aceites vegetales comestibles,042,042 Aceites y grasas vegetales comestibles,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.5. Aceites y grasas comestibles, 15 Aceites y grasas vegetales comestibles, 042 Aceites y grasas vegetales comestibles",865667,no,""
Urbano,011592,Chicharrón,019,"019 Carnes secas, procesadas y otros embutidos","1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 019 Carnes secas, procesadas y otros embutidos",865633,no,"Chicharrón → 019 Carnes secas, procesadas y otros embutidos"
Urbano,011611,Aguacate,045,045 Aguacate,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 045 Aguacate",865670,no,""
Urbano,011616,"Otros plátanos: Chiapas, dominico, guineo, manzano, dorado, portalimón y Roatán",055,055 Plátanos,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 055 Plátanos",865680,no,""
Urbano,011621,Limón,048,048 Limón,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 048 Limón",865673,no,""
Urbano,011633,Manzana y perón,049,049 Manzana,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 049 Manzana",865674,no,""
Urbano,011712,Lechuga,071,071 Lechuga y col,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 071 Lechuga y col",865695,no,""
Urbano,011721,Calabaza,060,060 Calabacita,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 060 Calabacita",865688,no,""
Urbano,011722,Chayote,062,062 Chayote,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 062 Chayote",865690,no,""
Urbano,011725,Chile serrano,065,065 Chile serrano,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 065 Chile serrano",865692,no,""
Urbano,011727,Jitomate (tomate rojo),070,070 Jitomate,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 070 Jitomate",865694,no,""
Urbano,011728,Pepino,075,075 Pepino,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 075 Pepino",865698,no,""
Urbano,011729,Tomate verde,076,076 Tomate verde,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 076 Tomate verde",865699,no,""
Urbano,011743,Cebolla,061,061 Cebolla,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 061 Cebolla",865689,no,""
Urbano,011746,Nopal,072,072 Nopales,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 072 Nopales",865696,no,""
Urbano,011748,Zanahoria,078,078 Zanahoria,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 078 Zanahoria",865700,no,""
Urbano,011751,Papa,073,073 Papa y otros tubérculos,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 073 Papa y otros tubérculos",865697,no,""
Urbano,011761,Frijol en grano,068,068 Frijol,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 18 Legumbres secas, 068 Frijol",865706,no,""
Urbano,011797,Frijol procesado,069,069 Frijol procesado,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 19 Frutas y legumbres procesadas, 069 Frijol procesado",865711,no,""
Urbano,011810,Azúcar,082,082 Azúcar,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 20 Azúcar, 082 Azúcar",865718,no,""
Urbano,011911,Alimentos preparados para consumo inmediato,269,269 Otros alimentos cocinados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 25 Alimentos cocinados fuera de casa, 269 Otros alimentos cocinados",865744,no,Alimentos preparados para consumo inmediato ≈ 269 Otros alimentos cocinados
Urbano,011942,Cilantro,087,"087 Cilantro, epazote y perejil","1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 087 Cilantro, epazote y perejil",865703,no,""
Urbano,012100,Jugos de frutas o verduras envasados,095,095 Jugos o néctares envasados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 19 Frutas y legumbres procesadas, 095 Jugos o néctares envasados",865715,no,""
Urbano,012201,Café soluble,096,096 Café soluble,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 21 Café, 096 Café soluble",865720,no,""
Urbano,012501,Agua natural embotellada,099,099 Agua embotellada,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 099 Agua embotellada",865724,no,""
Urbano,012601,Refrescos sabor cola,100,100 Refrescos envasados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 100 Refrescos envasados",865725,no,""
Urbano,012602,Refrescos de otros sabores,100,100 Refrescos envasados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 100 Refrescos envasados",865725,no,""
Urbano,111111,Desayunos,11.1,,,,sí,"Desayunos (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Urbano,111112,Comidas,11.1,,,,sí,"Comidas (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Urbano,111113,Cenas,11.1,,,,sí,"Cenas (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Urbano,111124,Otros alimentos cocinados,269,269 Otros alimentos cocinados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 25 Alimentos cocinados fuera de casa, 269 Otros alimentos cocinados",865744,no,""
Urbano,111126,Pollos rostizados,267,267 Pollos rostizados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 25 Alimentos cocinados fuera de casa, 267 Pollos rostizados",865743,no,""
Urbano,181124,"Pierna, muslo o pechuga de pollo con hueso",022,022 Pollo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 05 Carne de ave, 022 Pollo",865614,no,""
Urbano,181125,"Pierna, muslo o pechuga de pollo sin hueso",022,022 Pollo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 05 Carne de ave, 022 Pollo",865614,no,""
Urbano,181126,"Chorizo de pollo, jamón de pollo, pavo y otras aves; nuggets de pollo y otras aves, salchicha, mortadela, tocino de pollo, pavo y otras aves, etcétera",019,"019 Carnes secas, procesadas y otros embutidos","1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 019 Carnes secas, procesadas y otros embutidos",865633,no,"Embutidos de aves mixtos → 019 Carnes secas, procesadas y otros embutidos (genérico paraguas de procesados)"
Urbano,181134,Plátano verde y Tabasco,055,055 Plátanos,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 055 Plátanos",865680,no,Plátano verde/Tabasco (de cocción) ≈ 055 Plátanos
