nom_ent,cve_ent,componente,codigo,nombre_nodo,serie_api
Aguascalientes,1,alimentos,001,Arroz,894972
Aguascalientes,1,alimentos,004,Galletas,894967
Aguascalientes,1,alimentos,008,Pan blanco,894961
Aguascalientes,1,alimentos,009,Pan de caja,894962
Aguascalientes,1,alimentos,010,Pan dulce,894963
Aguascalientes,1,alimentos,011,Pasta para sopa,894969
Aguascalientes,1,alimentos,014,Tortilla de maíz,894958
Aguascalientes,1,alimentos,015,Tortillas de harina de trigo,894970
Aguascalientes,1,alimentos,016,Tostadas,894959
Aguascalientes,1,alimentos,017,Carne de cerdo,894978
Aguascalientes,1,alimentos,018,Carne de res,894981
Aguascalientes,1,alimentos,019,"Carnes secas, procesadas y otros embutidos",894984
Aguascalientes,1,alimentos,020,Chorizo,894985
Aguascalientes,1,alimentos,021,Jamón,894986
Aguascalientes,1,alimentos,022,Pollo,894976
Aguascalientes,1,alimentos,026,Atún y sardina en lata,894994
Aguascalientes,1,alimentos,030,Crema y otros productos a base de leche,895005
Aguascalientes,1,alimentos,031,Huevo,895015
Aguascalientes,1,alimentos,034,Leche pasteurizada y fresca,894998
Aguascalientes,1,alimentos,037,Queso fresco,895007
Aguascalientes,1,alimentos,039,Queso Oaxaca y asadero,895009
Aguascalientes,1,alimentos,041,Yogurt,895011
Aguascalientes,1,alimentos,042,Aceites y grasas vegetales comestibles,895018
Aguascalientes,1,alimentos,045,Aguacate,895021
Aguascalientes,1,alimentos,048,Limón,895024
Aguascalientes,1,alimentos,049,Manzana,895025
Aguascalientes,1,alimentos,055,Plátanos,895031
Aguascalientes,1,alimentos,060,Calabacita,895036
Aguascalientes,1,alimentos,061,Cebolla,895037
Aguascalientes,1,alimentos,062,Chayote,895038
Aguascalientes,1,alimentos,065,Chile serrano,895040
Aguascalientes,1,alimentos,068,Frijol,895054
Aguascalientes,1,alimentos,069,Frijol procesado,895059
Aguascalientes,1,alimentos,070,Jitomate,895042
Aguascalientes,1,alimentos,071,Lechuga y col,895043
Aguascalientes,1,alimentos,072,Nopales,895044
Aguascalientes,1,alimentos,073,Papa y otros tubérculos,895045
Aguascalientes,1,alimentos,074,Papas fritas,895081
Aguascalientes,1,alimentos,075,Pepino,895046
Aguascalientes,1,alimentos,076,Tomate verde,895047
Aguascalientes,1,alimentos,078,Zanahoria,895048
Aguascalientes,1,alimentos,081,Otros chiles frescos,895050
Aguascalientes,1,alimentos,082,Azúcar,895066
Aguascalientes,1,alimentos,087,"Cilantro, epazote y perejil",895051
Aguascalientes,1,alimentos,095,Jugos o néctares envasados,895063
Aguascalientes,1,alimentos,096,Café soluble,895068
Aguascalientes,1,alimentos,099,Agua embotellada,895072
Aguascalientes,1,alimentos,100,Refrescos envasados,895073
Aguascalientes,1,alimentos,267,Pollos rostizados,895091
Aguascalientes,1,alimentos,269,Otros alimentos cocinados,895092
Aguascalientes,1,comidas_fuera,25,Alimentos cocinados fuera de casa,895087
Aguascalientes,1,nanv,general,Índice general,894950
Aguascalientes,1,vivienda,3,Vivienda,895158
Baja California,2,alimentos,001,Arroz,895402
Baja California,2,alimentos,004,Galletas,895397
Baja California,2,alimentos,008,Pan blanco,895391
Baja California,2,alimentos,009,Pan de caja,895392
Baja California,2,alimentos,010,Pan dulce,895393
Baja California,2,alimentos,011,Pasta para sopa,895399
Baja California,2,alimentos,014,Tortilla de maíz,895388
Baja California,2,alimentos,015,Tortillas de harina de trigo,895400
Baja California,2,alimentos,016,Tostadas,895389
Baja California,2,alimentos,017,Carne de cerdo,895408
Baja California,2,alimentos,018,Carne de res,895411
Baja California,2,alimentos,019,"Carnes secas, procesadas y otros embutidos",895414
Baja California,2,alimentos,020,Chorizo,895415
Baja California,2,alimentos,021,Jamón,895416
Baja California,2,alimentos,022,Pollo,895406
Baja California,2,alimentos,026,Atún y sardina en lata,895424
Baja California,2,alimentos,030,Crema y otros productos a base de leche,895435
Baja California,2,alimentos,031,Huevo,895445
Baja California,2,alimentos,034,Leche pasteurizada y fresca,895428
Baja California,2,alimentos,037,Queso fresco,895437
Baja California,2,alimentos,039,Queso Oaxaca y asadero,895439
Baja California,2,alimentos,041,Yogurt,895441
Baja California,2,alimentos,042,Aceites y grasas vegetales comestibles,895448
Baja California,2,alimentos,045,Aguacate,895451
Baja California,2,alimentos,048,Limón,895454
Baja California,2,alimentos,049,Manzana,895455
Baja California,2,alimentos,055,Plátanos,895461
Baja California,2,alimentos,060,Calabacita,895466
Baja California,2,alimentos,061,Cebolla,895467
Baja California,2,alimentos,062,Chayote,895468
Baja California,2,alimentos,065,Chile serrano,895470
Baja California,2,alimentos,068,Frijol,895484
Baja California,2,alimentos,069,Frijol procesado,895489
Baja California,2,alimentos,070,Jitomate,895472
Baja California,2,alimentos,071,Lechuga y col,895473
Baja California,2,alimentos,072,Nopales,895474
Baja California,2,alimentos,073,Papa y otros tubérculos,895475
Baja California,2,alimentos,074,Papas fritas,895511
Baja California,2,alimentos,075,Pepino,895476
Baja California,2,alimentos,076,Tomate verde,895477
Baja California,2,alimentos,078,Zanahoria,895478
Baja California,2,alimentos,081,Otros chiles frescos,895480
Baja California,2,alimentos,082,Azúcar,895496
Baja California,2,alimentos,087,"Cilantro, epazote y perejil",895481
Baja California,2,alimentos,095,Jugos o néctares envasados,895493
Baja California,2,alimentos,096,Café soluble,895498
Baja California,2,alimentos,099,Agua embotellada,895502
Baja California,2,alimentos,100,Refrescos envasados,895503
Baja California,2,alimentos,267,Pollos rostizados,895521
Baja California,2,alimentos,269,Otros alimentos cocinados,895522
Baja California,2,comidas_fuera,25,Alimentos cocinados fuera de casa,895517
Baja California,2,nanv,general,Índice general,895380
Baja California,2,vivienda,3,Vivienda,895588
Baja California Sur,3,alimentos,001,Arroz,895832
Baja California Sur,3,alimentos,004,Galletas,895827
Baja California Sur,3,alimentos,008,Pan blanco,895821
Baja California Sur,3,alimentos,009,Pan de caja,895822
Baja California Sur,3,alimentos,010,Pan dulce,895823
Baja California Sur,3,alimentos,011,Pasta para sopa,895829
Baja California Sur,3,alimentos,014,Tortilla de maíz,895818
Baja California Sur,3,alimentos,015,Tortillas de harina de trigo,895830
Baja California Sur,3,alimentos,016,Tostadas,895819
Baja California Sur,3,alimentos,017,Carne de cerdo,895838
Baja California Sur,3,alimentos,018,Carne de res,895841
Baja California Sur,3,alimentos,019,"Carnes secas, procesadas y otros embutidos",895844
Baja California Sur,3,alimentos,020,Chorizo,895845
Baja California Sur,3,alimentos,021,Jamón,895846
Baja California Sur,3,alimentos,022,Pollo,895836
Baja California Sur,3,alimentos,026,Atún y sardina en lata,895854
Baja California Sur,3,alimentos,030,Crema y otros productos a base de leche,895865
Baja California Sur,3,alimentos,031,Huevo,895875
Baja California Sur,3,alimentos,034,Leche pasteurizada y fresca,895858
Baja California Sur,3,alimentos,037,Queso fresco,895867
Baja California Sur,3,alimentos,039,Queso Oaxaca y asadero,895869
Baja California Sur,3,alimentos,041,Yogurt,895871
Baja California Sur,3,alimentos,042,Aceites y grasas vegetales comestibles,895878
Baja California Sur,3,alimentos,045,Aguacate,895881
Baja California Sur,3,alimentos,048,Limón,895884
Baja California Sur,3,alimentos,049,Manzana,895885
Baja California Sur,3,alimentos,055,Plátanos,895891
Baja California Sur,3,alimentos,060,Calabacita,895896
Baja California Sur,3,alimentos,061,Cebolla,895897
Baja California Sur,3,alimentos,062,Chayote,895898
Baja California Sur,3,alimentos,065,Chile serrano,895900
Baja California Sur,3,alimentos,068,Frijol,895914
Baja California Sur,3,alimentos,069,Frijol procesado,895919
Baja California Sur,3,alimentos,070,Jitomate,895902
Baja California Sur,3,alimentos,071,Lechuga y col,895903
Baja California Sur,3,alimentos,072,Nopales,895904
Baja California Sur,3,alimentos,073,Papa y otros tubérculos,895905
Baja California Sur,3,alimentos,074,Papas fritas,895941
Baja California Sur,3,alimentos,075,Pepino,895906
Baja California Sur,3,alimentos,076,Tomate verde,895907
Baja California Sur,3,alimentos,078,Zanahoria,895908
Baja California Sur,3,alimentos,081,Otros chiles frescos,895910
Baja California Sur,3,alimentos,082,Azúcar,895926
Baja California Sur,3,alimentos,087,"Cilantro, epazote y perejil",895911
Baja California Sur,3,alimentos,095,Jugos o néctares envasados,895923
Baja California Sur,3,alimentos,096,Café soluble,895928
Baja California Sur,3,alimentos,099,Agua embotellada,895932
Baja California Sur,3,alimentos,100,Refrescos envasados,895933
Baja California Sur,3,alimentos,267,Pollos rostizados,895951
Baja California Sur,3,alimentos,269,Otros alimentos cocinados,895952
Baja California Sur,3,comidas_fuera,25,Alimentos cocinados fuera de casa,895947
Baja California Sur,3,nanv,general,Índice general,895810
Baja California Sur,3,vivienda,3,Vivienda,896018
Campeche,4,alimentos,001,Arroz,896262
Campeche,4,alimentos,004,Galletas,896257
Campeche,4,alimentos,008,Pan blanco,896251
Campeche,4,alimentos,009,Pan de caja,896252
Campeche,4,alimentos,010,Pan dulce,896253
Campeche,4,alimentos,011,Pasta para sopa,896259
Campeche,4,alimentos,014,Tortilla de maíz,896248
Campeche,4,alimentos,015,Tortillas de harina de trigo,896260
Campeche,4,alimentos,016,Tostadas,896249
Campeche,4,alimentos,017,Carne de cerdo,896268
Campeche,4,alimentos,018,Carne de res,896271
Campeche,4,alimentos,019,"Carnes secas, procesadas y otros embutidos",896274
Campeche,4,alimentos,020,Chorizo,896275
Campeche,4,alimentos,021,Jamón,896276
Campeche,4,alimentos,022,Pollo,896266
Campeche,4,alimentos,026,Atún y sardina en lata,896284
Campeche,4,alimentos,030,Crema y otros productos a base de leche,896295
Campeche,4,alimentos,031,Huevo,896305
Campeche,4,alimentos,034,Leche pasteurizada y fresca,896288
Campeche,4,alimentos,037,Queso fresco,896297
Campeche,4,alimentos,039,Queso Oaxaca y asadero,896299
Campeche,4,alimentos,041,Yogurt,896301
Campeche,4,alimentos,042,Aceites y grasas vegetales comestibles,896308
Campeche,4,alimentos,045,Aguacate,896311
Campeche,4,alimentos,048,Limón,896314
Campeche,4,alimentos,049,Manzana,896315
Campeche,4,alimentos,055,Plátanos,896321
Campeche,4,alimentos,060,Calabacita,896326
Campeche,4,alimentos,061,Cebolla,896327
Campeche,4,alimentos,062,Chayote,896328
Campeche,4,alimentos,065,Chile serrano,896330
Campeche,4,alimentos,068,Frijol,896344
Campeche,4,alimentos,069,Frijol procesado,896349
Campeche,4,alimentos,070,Jitomate,896332
Campeche,4,alimentos,071,Lechuga y col,896333
Campeche,4,alimentos,072,Nopales,896334
Campeche,4,alimentos,073,Papa y otros tubérculos,896335
Campeche,4,alimentos,074,Papas fritas,896371
Campeche,4,alimentos,075,Pepino,896336
Campeche,4,alimentos,076,Tomate verde,896337
Campeche,4,alimentos,078,Zanahoria,896338
Campeche,4,alimentos,081,Otros chiles frescos,896340
Campeche,4,alimentos,082,Azúcar,896356
Campeche,4,alimentos,087,"Cilantro, epazote y perejil",896341
Campeche,4,alimentos,095,Jugos o néctares envasados,896353
Campeche,4,alimentos,096,Café soluble,896358
Campeche,4,alimentos,099,Agua embotellada,896362
Campeche,4,alimentos,100,Refrescos envasados,896363
Campeche,4,alimentos,267,Pollos rostizados,896381
Campeche,4,alimentos,269,Otros alimentos cocinados,896382
Campeche,4,comidas_fuera,25,Alimentos cocinados fuera de casa,896377
Campeche,4,nanv,general,Índice general,896240
Campeche,4,vivienda,3,Vivienda,896448
Coahuila,5,alimentos,001,Arroz,896692
Coahuila,5,alimentos,004,Galletas,896687
Coahuila,5,alimentos,008,Pan blanco,896681
Coahuila,5,alimentos,009,Pan de caja,896682
Coahuila,5,alimentos,010,Pan dulce,896683
Coahuila,5,alimentos,011,Pasta para sopa,896689
Coahuila,5,alimentos,014,Tortilla de maíz,896678
Coahuila,5,alimentos,015,Tortillas de harina de trigo,896690
Coahuila,5,alimentos,016,Tostadas,896679
Coahuila,5,alimentos,017,Carne de cerdo,896698
Coahuila,5,alimentos,018,Carne de res,896701
Coahuila,5,alimentos,019,"Carnes secas, procesadas y otros embutidos",896704
Coahuila,5,alimentos,020,Chorizo,896705
Coahuila,5,alimentos,021,Jamón,896706
Coahuila,5,alimentos,022,Pollo,896696
Coahuila,5,alimentos,026,Atún y sardina en lata,896714
Coahuila,5,alimentos,030,Crema y otros productos a base de leche,896725
Coahuila,5,alimentos,031,Huevo,896735
Coahuila,5,alimentos,034,Leche pasteurizada y fresca,896718
Coahuila,5,alimentos,037,Queso fresco,896727
Coahuila,5,alimentos,039,Queso Oaxaca y asadero,896729
Coahuila,5,alimentos,041,Yogurt,896731
Coahuila,5,alimentos,042,Aceites y grasas vegetales comestibles,896738
Coahuila,5,alimentos,045,Aguacate,896741
Coahuila,5,alimentos,048,Limón,896744
Coahuila,5,alimentos,049,Manzana,896745
Coahuila,5,alimentos,055,Plátanos,896751
Coahuila,5,alimentos,060,Calabacita,896756
Coahuila,5,alimentos,061,Cebolla,896757
Coahuila,5,alimentos,062,Chayote,896758
Coahuila,5,alimentos,065,Chile serrano,896760
Coahuila,5,alimentos,068,Frijol,896774
Coahuila,5,alimentos,069,Frijol procesado,896779
Coahuila,5,alimentos,070,Jitomate,896762
Coahuila,5,alimentos,071,Lechuga y col,896763
Coahuila,5,alimentos,072,Nopales,896764
Coahuila,5,alimentos,073,Papa y otros tubérculos,896765
Coahuila,5,alimentos,074,Papas fritas,896801
Coahuila,5,alimentos,075,Pepino,896766
Coahuila,5,alimentos,076,Tomate verde,896767
Coahuila,5,alimentos,078,Zanahoria,896768
Coahuila,5,alimentos,081,Otros chiles frescos,896770
Coahuila,5,alimentos,082,Azúcar,896786
Coahuila,5,alimentos,087,"Cilantro, epazote y perejil",896771
Coahuila,5,alimentos,095,Jugos o néctares envasados,896783
Coahuila,5,alimentos,096,Café soluble,896788
Coahuila,5,alimentos,099,Agua embotellada,896792
Coahuila,5,alimentos,100,Refrescos envasados,896793
Coahuila,5,alimentos,267,Pollos rostizados,896811
Coahuila,5,alimentos,269,Otros alimentos cocinados,896812
Coahuila,5,comidas_fuera,25,Alimentos cocinados fuera de casa,896807
Coahuila,5,nanv,general,Índice general,896670
Coahuila,5,vivienda,3,Vivienda,896878
Colima,6,alimentos,001,Arroz,897122
Colima,6,alimentos,004,Galletas,897117
Colima,6,alimentos,008,Pan blanco,897111
Colima,6,alimentos,009,Pan de caja,897112
Colima,6,alimentos,010,Pan dulce,897113
Colima,6,alimentos,011,Pasta para sopa,897119
Colima,6,alimentos,014,Tortilla de maíz,897108
Colima,6,alimentos,015,Tortillas de harina de trigo,897120
Colima,6,alimentos,016,Tostadas,897109
Colima,6,alimentos,017,Carne de cerdo,897128
Colima,6,alimentos,018,Carne de res,897131
Colima,6,alimentos,019,"Carnes secas, procesadas y otros embutidos",897134
Colima,6,alimentos,020,Chorizo,897135
Colima,6,alimentos,021,Jamón,897136
Colima,6,alimentos,022,Pollo,897126
Colima,6,alimentos,026,Atún y sardina en lata,897144
Colima,6,alimentos,030,Crema y otros productos a base de leche,897155
Colima,6,alimentos,031,Huevo,897165
Colima,6,alimentos,034,Leche pasteurizada y fresca,897148
Colima,6,alimentos,037,Queso fresco,897157
Colima,6,alimentos,039,Queso Oaxaca y asadero,897159
Colima,6,alimentos,041,Yogurt,897161
Colima,6,alimentos,042,Aceites y grasas vegetales comestibles,897168
Colima,6,alimentos,045,Aguacate,897171
Colima,6,alimentos,048,Limón,897174
Colima,6,alimentos,049,Manzana,897175
Colima,6,alimentos,055,Plátanos,897181
Colima,6,alimentos,060,Calabacita,897186
Colima,6,alimentos,061,Cebolla,897187
Colima,6,alimentos,062,Chayote,897188
Colima,6,alimentos,065,Chile serrano,897190
Colima,6,alimentos,068,Frijol,897204
Colima,6,alimentos,069,Frijol procesado,897209
Colima,6,alimentos,070,Jitomate,897192
Colima,6,alimentos,071,Lechuga y col,897193
Colima,6,alimentos,072,Nopales,897194
Colima,6,alimentos,073,Papa y otros tubérculos,897195
Colima,6,alimentos,074,Papas fritas,897231
Colima,6,alimentos,075,Pepino,897196
Colima,6,alimentos,076,Tomate verde,897197
Colima,6,alimentos,078,Zanahoria,897198
Colima,6,alimentos,081,Otros chiles frescos,897200
Colima,6,alimentos,082,Azúcar,897216
Colima,6,alimentos,087,"Cilantro, epazote y perejil",897201
Colima,6,alimentos,095,Jugos o néctares envasados,897213
Colima,6,alimentos,096,Café soluble,897218
Colima,6,alimentos,099,Agua embotellada,897222
Colima,6,alimentos,100,Refrescos envasados,897223
Colima,6,alimentos,267,Pollos rostizados,897241
Colima,6,alimentos,269,Otros alimentos cocinados,897242
Colima,6,comidas_fuera,25,Alimentos cocinados fuera de casa,897237
Colima,6,nanv,general,Índice general,897100
Colima,6,vivienda,3,Vivienda,897308
Chiapas,7,alimentos,001,Arroz,897552
Chiapas,7,alimentos,004,Galletas,897547
Chiapas,7,alimentos,008,Pan blanco,897541
Chiapas,7,alimentos,009,Pan de caja,897542
Chiapas,7,alimentos,010,Pan dulce,897543
Chiapas,7,alimentos,011,Pasta para sopa,897549
Chiapas,7,alimentos,014,Tortilla de maíz,897538
Chiapas,7,alimentos,015,Tortillas de harina de trigo,897550
Chiapas,7,alimentos,016,Tostadas,897539
Chiapas,7,alimentos,017,Carne de cerdo,897558
Chiapas,7,alimentos,018,Carne de res,897561
Chiapas,7,alimentos,019,"Carnes secas, procesadas y otros embutidos",897564
Chiapas,7,alimentos,020,Chorizo,897565
Chiapas,7,alimentos,021,Jamón,897566
Chiapas,7,alimentos,022,Pollo,897556
Chiapas,7,alimentos,026,Atún y sardina en lata,897574
Chiapas,7,alimentos,030,Crema y otros productos a base de leche,897585
Chiapas,7,alimentos,031,Huevo,897595
Chiapas,7,alimentos,034,Leche pasteurizada y fresca,897578
Chiapas,7,alimentos,037,Queso fresco,897587
Chiapas,7,alimentos,039,Queso Oaxaca y asadero,897589
Chiapas,7,alimentos,041,Yogurt,897591
Chiapas,7,alimentos,042,Aceites y grasas vegetales comestibles,897598
Chiapas,7,alimentos,045,Aguacate,897601
Chiapas,7,alimentos,048,Limón,897604
Chiapas,7,alimentos,049,Manzana,897605
Chiapas,7,alimentos,055,Plátanos,897611
Chiapas,7,alimentos,060,Calabacita,897616
Chiapas,7,alimentos,061,Cebolla,897617
Chiapas,7,alimentos,062,Chayote,897618
Chiapas,7,alimentos,065,Chile serrano,897620
Chiapas,7,alimentos,068,Frijol,897634
Chiapas,7,alimentos,069,Frijol procesado,897639
Chiapas,7,alimentos,070,Jitomate,897622
Chiapas,7,alimentos,071,Lechuga y col,897623
Chiapas,7,alimentos,072,Nopales,897624
Chiapas,7,alimentos,073,Papa y otros tubérculos,897625
Chiapas,7,alimentos,074,Papas fritas,897661
Chiapas,7,alimentos,075,Pepino,897626
Chiapas,7,alimentos,076,Tomate verde,897627
Chiapas,7,alimentos,078,Zanahoria,897628
Chiapas,7,alimentos,081,Otros chiles frescos,897630
Chiapas,7,alimentos,082,Azúcar,897646
Chiapas,7,alimentos,087,"Cilantro, epazote y perejil",897631
Chiapas,7,alimentos,095,Jugos o néctares envasados,897643
Chiapas,7,alimentos,096,Café soluble,897648
Chiapas,7,alimentos,099,Agua embotellada,897652
Chiapas,7,alimentos,100,Refrescos envasados,897653
Chiapas,7,alimentos,267,Pollos rostizados,897671
Chiapas,7,alimentos,269,Otros alimentos cocinados,897672
Chiapas,7,comidas_fuera,25,Alimentos cocinados fuera de casa,897667
Chiapas,7,nanv,general,Índice general,897530
Chiapas,7,vivienda,3,Vivienda,897738
Chihuahua,8,alimentos,001,Arroz,897982
Chihuahua,8,alimentos,004,Galletas,897977
Chihuahua,8,alimentos,008,Pan blanco,897971
Chihuahua,8,alimentos,009,Pan de caja,897972
Chihuahua,8,alimentos,010,Pan dulce,897973
Chihuahua,8,alimentos,011,Pasta para sopa,897979
Chihuahua,8,alimentos,014,Tortilla de maíz,897968
Chihuahua,8,alimentos,015,Tortillas de harina de trigo,897980
Chihuahua,8,alimentos,016,Tostadas,897969
Chihuahua,8,alimentos,017,Carne de cerdo,897988
Chihuahua,8,alimentos,018,Carne de res,897991
Chihuahua,8,alimentos,019,"Carnes secas, procesadas y otros embutidos",897994
Chihuahua,8,alimentos,020,Chorizo,897995
Chihuahua,8,alimentos,021,Jamón,897996
Chihuahua,8,alimentos,022,Pollo,897986
Chihuahua,8,alimentos,026,Atún y sardina en lata,898004
Chihuahua,8,alimentos,030,Crema y otros productos a base de leche,898015
Chihuahua,8,alimentos,031,Huevo,898025
Chihuahua,8,alimentos,034,Leche pasteurizada y fresca,898008
Chihuahua,8,alimentos,037,Queso fresco,898017
Chihuahua,8,alimentos,039,Queso Oaxaca y asadero,898019
Chihuahua,8,alimentos,041,Yogurt,898021
Chihuahua,8,alimentos,042,Aceites y grasas vegetales comestibles,898028
Chihuahua,8,alimentos,045,Aguacate,898031
Chihuahua,8,alimentos,048,Limón,898034
Chihuahua,8,alimentos,049,Manzana,898035
Chihuahua,8,alimentos,055,Plátanos,898041
Chihuahua,8,alimentos,060,Calabacita,898046
Chihuahua,8,alimentos,061,Cebolla,898047
Chihuahua,8,alimentos,062,Chayote,898048
Chihuahua,8,alimentos,065,Chile serrano,898050
Chihuahua,8,alimentos,068,Frijol,898064
Chihuahua,8,alimentos,069,Frijol procesado,898069
Chihuahua,8,alimentos,070,Jitomate,898052
Chihuahua,8,alimentos,071,Lechuga y col,898053
Chihuahua,8,alimentos,072,Nopales,898054
Chihuahua,8,alimentos,073,Papa y otros tubérculos,898055
Chihuahua,8,alimentos,074,Papas fritas,898091
Chihuahua,8,alimentos,075,Pepino,898056
Chihuahua,8,alimentos,076,Tomate verde,898057
Chihuahua,8,alimentos,078,Zanahoria,898058
Chihuahua,8,alimentos,081,Otros chiles frescos,898060
Chihuahua,8,alimentos,082,Azúcar,898076
Chihuahua,8,alimentos,087,"Cilantro, epazote y perejil",898061
